,word,part
1004,official,NN
1011,state,NN
1012,GOP,NN
1013,chairman,NN
1017,meeting,NN
1020,night,NN
1029,audience,NN
1039,enthusiasm,NN
1045,state,NN
1046,rally,NN
1066,speaker,NN
1072,meeting,NN
1075,audience,NN
1081,candidate,NN
1083,governor,NN
1110,vote,NN
1114,candidate,NN
1124,crowd,NN
1134,term,NN
1138,race,NN
1152,hurdle,NN
1161,state,NN
1162,law,NN
1170,race,NN
1184,cent,NN
1190,county,NN
1208,election,NN
1209,ballot,NN
1218,primary,NN
1221,county,NN
1222,unit,NN
1223,system,NN
1226,system,NN
1229,party,NN
1233,platform,NN
1243,director,NN
1254,campaign,NN
1257,resignation,NN
1263,time,NN
1279,assistant,NN
1288,campaign,NN
1297,campaign,NN
1298,coordinator,NN
1310,session,NN
1321,highway,NN
1322,bond,NN
1323,money,NN
1331,adjournment,NN
1333,afternoon,NN
1342,study,NN
1345,number,NN
1370,visit,NN
1378,adjournment,NN
1387,highway,NN
1388,bond,NN
1389,issue,NN
1394,session,NN
1398,priority,NN
1399,item,NN
1423,worth,NN
1425,highway,NN
1426,reconstruction,NN
1430,bond,NN
1431,issue,NN
1436,state,NN
1441,test,NN
1442,suit,NN
1446,validity,NN
1449,act,NN
1461,repair,NN
1462,work,NN
1475,source,NN
1481,plan,NN
1491,worth,NN
1499,road,NN
1500,construction,NN
1501,work,NN
1507,department,NN
1518,fund,NN
1527,time,NN
1529,portion,NN
1538,tax,NN
1544,race,NN
1546,governor,NN
1551,battle,NN
1557,issuance,NN
1561,worth,NN
1577,source,NN
1611,resolution,NN
1620,action,NN
1629,day,NN
1630,increase,NN
1632,expense,NN
1638,night,NN
1641,research,NN
1648,quickie,NN
1650,vote,NN
1653,increase,NN
1660,notice,NN
1668,reconsideration,NN
1671,action,NN
1690,resolution,NN
1697,privilege,NN
1698,resolution,NN
1708,resolution,NN
1715,vote,NN
1722,night,NN
1727,word,NN
1730,resolution,NN
1737,action,NN
1750,amendment,NN
1757,pay,NN
1768,legislator,NN
1778,aid,NN
1780,education,NN
1789,past,NN
1802,privilege,NN
1803,resolution,NN
1809,support,NN
1812,education,NN
1824,state,NN
1834,year,NN
1837,legislator,NN
1848,delegation,NN
1859,resolution,NN
1878,resolution,NN
1881,resolution,NN
1889,hopper,NN
1904,event,NN
1909,increase,NN
1926,priority,NN
1929,teacher,NN
1930,pay,NN
1940,controversy,NN
1947,school,NN
1948,superintendent,NN
1954,policeman,NN
1962,election,NN
1968,county,NN
1973,school,NN
1974,superintendent,NN
1981,agriculture,NN
1982,teacher,NN
1990,school,NN
1991,principal,NN
1993,chairman,NN
2008,election,NN
2022,pistol,NN
2031,order,NN
2040,election,NN
2062,church,NN
2068,drop,NN
2070,liquor,NN
2077,bit,NN
2079,trouble,NN
2083,campaign,NN
2087,election,NN
2099,controversy,NN
2102,midnight,NN
2103,phone,NN
2109,violence,NN
2113,county,NN
2114,school,NN
2115,superintendent,NN
2124,death,NN
2134,post,NN
2137,dispute,NN
2140,county,NN
2141,school,NN
2142,board,NN
2146,election,NN
2147,campaign,NN
2159,telephone,NN
2179,election,NN
2199,permit,NN
2203,gun,NN
2208,election,NN
2215,ordinary,NN
2220,promise,NN
2230,sheriff,NN
2237,bit,NN
2239,trouble,NN
2246,Committee,NN
2247,approval,NN
2254,property,NN
2256,act,NN
2272,fight,NN
2275,measure,NN
2285,rejection,NN
2294,hearing,NN
2305,committee,NN
2313,subcommittee,NN
2316,week,NN
2322,committee,NN
2331,doubt,NN
2336,passage,NN
2347,estimate,NN
2360,deficit,NN
2367,end,NN
2372,year,NN
2380,committee,NN
2382,measure,NN
2390,escheat,NN
2391,law,NN
2403,republic,NN
2409,state,NN
2413,bank,NN
2420,property,NN
2431,bill,NN
2444,insurance,NN
2447,pipeline,NN
2455,property,NN
2458,state,NN
2459,treasurer,NN
2462,escheat,NN
2463,law,NN
2476,property,NN
2486,lawyer,NN
2495,opposition,NN
2496,keynote,NN
2514,confidence,NN
2516,bank,NN
2523,confidence,NN
2532,economy,NN
2543,circulation,NN
2557,sponsor,NN
2560,bill,NN
2564,failure,NN
2574,gift,NN
2583,insurance,NN
2585,pipeline,NN
2590,contention,NN
2624,bill,NN
2646,notice,NN
2651,hearing,NN
2655,bill,NN
2671,bill,NN
2679,establishment,NN
2681,day,NN
2696,bill,NN
2702,schooling,NN
2710,age,NN
2714,cost,NN
2717,state,NN
2722,debate,NN
2728,bill,NN
2744,day,NN
2755,population,NN
2766,age,NN
2770,day,NN
2788,budget,NN
2791,day,NN
2824,capital,NN
2825,outlay,NN
2837,TEA,NN
2847,day,NN
2848,school,NN
2863,state,NN
2865,school,NN
2873,debate,NN
2875,horse,NN
2876,race,NN
2916,amendment,NN
2934,horse,NN
2935,race,NN
2936,betting,NN
2953,question,NN
2969,career,NN
2978,ex-gambler,NN
2987,advocacy,NN
2996,committee,NN
3001,option,NN
3002,proposal,NN
3010,report,NN
3014,resolution,NN
3017,sledding,NN
3021,house,NN
3032,bill,NN
3038,authority,NN
3042,assistance,NN
3047,senate,NN
3053,fare,NN
3066,calendar,NN
3072,school,NN
3077,authority,NN
3089,act,NN
3091,creation,NN
3104,amendment,NN
3110,dissent,NN
3115,bill,NN
3124,establishment,NN
3127,future,NN
3130,school,NN
3139,district,NN
3141,Money,NN
3144,construction,NN
3153,meantime,NN
3157,board,NN
3165,site,NN
3168,tax,NN
3169,revision,NN
3193,group,NN
3196,excise,NN
3201,requirement,NN
3204,return,NN
3214,certificate,NN
3216,correctness,NN
3218,violation,NN
3224,penalty,NN
3231,prison,NN
3236,fine,NN
3243,series,NN
3254,bill,NN
3268,estate,NN
3277,fee,NN
3283,occupation,NN
3284,license,NN
3295,gas,NN
3297,utility,NN
3303,right,NN
3306,domain,NN
3310,bill,NN
3326,storage,NN
3329,gas,NN
3337,chairman,NN
3346,plan,NN
3350,appointment,NN
3361,need,NN
3369,plan,NN
3372,appointee,NN
3378,board,NN
3382,governor,NN
3384,lieutenant,NN
3385,governor,NN
3387,speaker,NN
3392,attorney,NN
3393,general,NN
3396,justice,NN
3407,State,NN
3414,poll,NN
3417,kind,NN
3428,vote,NN
3440,bill,NN
3445,referendum,NN
3450,ballot,NN
3458,senator,NN
3466,sponsor,NN
3469,poll,NN
3470,idea,NN
3475,delay,NN
3478,committee,NN
3482,bill,NN
3498,committee,NN
3504,hearing,NN
3510,proposal,NN
3517,approval,NN
3533,ballot,NN
3543,ballot,NN
3547,information,NN
3549,tax,NN
3558,choice,NN
3585,water,NN
3601,water,NN
3602,development,NN
3603,bill,NN
3613,effort,NN
3632,hamlet,NN
3639,shouting,NN
3643,bill,NN
3659,proposal,NN
3673,fire,NN
3685,bill,NN
3694,loan,NN
3696,state,NN
3702,water,NN
3703,project,NN
3711,effort,NN
3722,money,NN
3731,water,NN
3747,water,NN
3748,program,NN
3764,bill,NN
3770,attack,NN
3777,small-town,NN
3814,bill,NN
3834,peanut,NN
3844,teacher,NN
3855,law,NN
3858,time,NN
3873,history,NN
3886,semester,NN
3903,school,NN
3905,certificate,NN
3910,work,NN
3912,college,NN
3915,semester,NN
3923,high,NN
3930,semester,NN
3935,subject,NN
3941,remainder,NN
3945,college,NN
3946,requirement,NN
3955,person,NN
3959,degree,NN
3961,physics,NN
3963,chemistry,NN
3965,math,NN
3991,College,NN
4016,proposal,NN
4026,board,NN
4047,president,NN
4063,close,NN
4067,school,NN
4068,term,NN
4078,degree,NN
4092,degree,NN
4095,A,NN
4097,I,NN
4104,degree,NN
4115,addition,NN
4134,college,NN
4135,career,NN
4140,captain,NN
4143,basketball,NN
4144,team,NN
4148,football,NN
4149,letterman,NN
4156,teacher,NN
4158,principal,NN
4165,teacher,NN
4168,director,NN
4179,instructor,NN
4190,professor,NN
4192,education,NN
4207,border,NN
4208,patrolman,NN
4244,session,NN
4247,recommendation,NN
4254,State,NN
4257,legislation,NN
4260,discrimination,NN
4262,employment,NN
4269,report,NN
4274,ribbon,NN
4277,committee,NN
4280,aid,NN
4287,report,NN
4291,year,NN
4293,study,NN
4296,ADC,NN
4297,program,NN
4300,county,NN
4306,welfare,NN
4308,firm,NN
4313,range,NN
4320,ADC,NN
4321,case,NN
4322,load,NN
4325,report,NN
4328,discrimination,NN
4330,employment,NN
4339,family,NN
4340,breakdown,NN
4342,desertion,NN
4345,ADC,NN
4346,dependency,NN
4356,cost,NN
4358,ADC,NN
4366,county,NN
4377,president,NN
4385,committee,NN
4386,chairman,NN
4402,ADC,NN
4404,subsistence,NN
4411,volume,NN
4413,ADC,NN
4423,community,NN
4437,discrimination,NN
4439,employment,NN
4442,color,NN
4458,family,NN
4462,ADC,NN
4473,committee,NN
4476,Extension,NN
4479,ADC,NN
4480,program,NN
4485,need,NN
4500,family,NN
4501,unity,NN
4503,Research,NN
4513,prevention,NN
4515,dependency,NN
4517,illegitimacy,NN
4524,police,NN
4525,burglary,NN
4526,trial,NN
4531,guilt,NN
4534,time,NN
4537,arrest,NN
4547,court,NN
4551,disclosure,NN
4557,defense,NN
4558,counsel,NN
4567,prelude,NN
4570,quarrel,NN
4582,trial,NN
4587,disclosure,NN
4596,client,NN
4605,trial,NN
4610,request,NN
4614,jury,NN
4619,courtroom,NN
4633,client,NN
4639,court,NN
4654,property,NN
4663,trial,NN
4682,bench,NN
4704,honor,NN
4726,fight,NN
4729,case,NN
4734,conflict,NN
4753,business,NN
4758,time,NN
4760,attention,NN
4766,crisis,NN
4767,address,NN
4772,night,NN
4779,television,NN
4781,radio,NN
4789,week-end,NN
4792,summer,NN
4793,home,NN
4805,address,NN
4808,help,NN
4820,telephone,NN
4831,midmorning,NN
4841,spokesman,NN
4844,address,NN
4845,text,NN
4851,way,NN
4856,completion,NN
4870,press,NN
4871,secretary,NN
4892,work,NN
4902,staff,NN
4907,address,NN
4909,composition,NN
4916,minute,NN
4919,administration,NN
4926,crisis,NN
4935,city,NN
4943,investigation,NN
4948,election,NN
4963,prosecution,NN
4965,evidence,NN
4982,matter,NN
4987,significance,NN
4990,guilt,NN
4992,innocence,NN
5001,evidence,NN
5006,violation,NN
5016,ruling,NN
5034,state,NN
5042,case,NN
5045,Contempt,NN
5063,prosecutor,NN
5072,court,NN
5078,jury,NN
5087,election,NN
5088,investigation,NN
5097,building,NN
5107,jury,NN
5112,attorney,NN
5114,election,NN
5119,precinct,NN
5123,ward,NN
5127,procedure,NN
5129,intimidation,NN
5136,coercion,NN
5149,act,NN
5163,jury,NN
5164,room,NN
5175,misuse,NN
5187,abuse,NN
5190,process,NN
5195,contempt,NN
5202,county,NN
5205,vindication,NN
5208,authority,NN
5211,court,NN
5215,function,NN
5218,court,NN
5228,judge,NN
5247,week,NN
5260,precinct,NN
5269,miscount,NN
5272,vote,NN
5282,candidate,NN
5304,ward,NN
5314,ward,NN
5318,precinct,NN
5322,ward,NN
5327,precinct,NN
5331,ward,NN
5334,case,NN
5341,precinct,NN
5345,ward,NN
5353,advisement,NN
5363,advisement,NN
5371,statement,NN
5375,ward,NN
5376,case,NN
5388,trial,NN
5415,care,NN
5416,program,NN
5419,security,NN
5432,hospital,NN
5449,security,NN
5451,railroad,NN
5452,retirement,NN
5461,message,NN
5470,care,NN
5471,plan,NN
5496,child,NN
5497,health,NN
5498,care,NN
5502,research,NN
5506,care,NN
5507,plan,NN
5516,year,NN
5519,senator,NN
5522,fight,NN
5533,year,NN
5549,security,NN
5550,payroll,NN
5551,tax,NN
5558,year,NN
5571,security,NN
5572,payroll,NN
5573,tax,NN
5578,cent,NN
5582,cent,NN
5585,worker,NN
5587,employer,NN
5594,pay,NN
5596,year,NN
5600,plan,NN
5605,base,NN
5609,year,NN
5612,payroll,NN
5613,tax,NN
5617,cent,NN
5621,cent,NN
5625,payroll,NN
5626,tax,NN
5635,railroad,NN
5636,retirement,NN
5637,system,NN
5640,payroll,NN
5641,tax,NN
5648,cent,NN
5657,plan,NN
5663,levy,NN
5673,cent,NN
5676,date,NN
5682,security,NN
5692,tax,NN
5693,boost,NN
5697,plan,NN
5719,year,NN
5737,health,NN
5738,plan,NN
5766,payroll,NN
5775,care,NN
5776,plan,NN
5789,security,NN
5791,railroad,NN
5792,retirement,NN
5797,payment,NN
5799,hospital,NN
5809,illness,NN
5814,patient,NN
5819,day,NN
5822,cost,NN
5831,payment,NN
5834,home,NN
5842,discharge,NN
5845,hospital,NN
5848,patient,NN
5857,home,NN
5858,care,NN
5862,unit,NN
5863,formula,NN
5869,care,NN
5877,part,NN
5880,hospital-care,NN
5881,credit,NN
5884,Hospital,NN
5885,outpatient,NN
5886,clinic,NN
5887,diagnostic,NN
5888,service,NN
5893,excess,NN
5897,patient,NN
5900,Community,NN
5902,nurse,NN
5905,home,NN
5912,illness,NN
5920,year,NN
5923,law,NN
5944,plan,NN
5958,wish,NN
5961,care,NN
5965,expense,NN
5974,drain,NN
5989,hospital,NN
5990,stay,NN
5999,proposal,NN
6022,malingering,NN
6025,overcrowding,NN
6035,program,NN
6038,medicine,NN
6043,program,NN
6045,prepayment,NN
6047,health,NN
6051,freedom,NN
6053,choice,NN
6057,person,NN
6062,doctor,NN
6064,hospital,NN
6071,plan,NN
6075,doctor,NN
6085,patient,NN
6091,care,NN
6092,plan,NN
6131,student,NN
6132,load,NN
6138,need,NN
6140,health,NN
6141,care,NN
6156,medicine,NN
6158,dentistry,NN
6171,scholarship,NN
6172,plan,NN
6182,school,NN
6187,year,NN
6189,one-fourth,NN
6193,year,NN
6201,money,NN
6209,need,NN
6216,year,NN
6218,student,NN
6221,addition,NN
6224,government,NN
6230,cost,NN
6232,education,NN
6234,grant,NN
6242,scholarship,NN
6257,year,NN
6293,capacity,NN
6304,area,NN
6307,community,NN
6308,health,NN
6321,dollar,NN
6323,year,NN
6328,home,NN
6329,construction,NN
6337,dollar,NN
6341,appropriation,NN
6361,sum,NN
6368,child,NN
6369,health,NN
6370,field,NN
6380,increase,NN
6388,bureau,NN
6396,establishment,NN
6400,child,NN
6401,health,NN
6402,institute,NN
6421,rehabilitation,NN
6433,research,NN
6439,dollar,NN
6441,year,NN
6442,increase,NN
6455,research,NN
6479,budget,NN
6482,government,NN
6483,research,NN
6485,medicine,NN
6500,health,NN
6501,program,NN
6505,knowledge,NN
6524,reaction,NN
6527,message,NN
6536,year,NN
6539,aged-care,NN
6543,security,NN
6544,system,NN
6548,plan,NN
6555,plan,NN
6557,year,NN
6560,message,NN
6580,message,NN
6588,opposition,NN
6592,insurance,NN
6598,care,NN
6599,plan,NN
6602,year,NN
6608,trial,NN
6623,program,NN
6628,thing,NN
6634,prediction,NN
6637,fate,NN
6652,pressure,NN
6666,chief,NN
6674,floor,NN
6679,record,NN
6680,vote,NN
6683,number,NN
6702,order,NN
6705,approval,NN
6709,leader,NN
6711,administrator,NN
6716,home,NN
6717,finance,NN
6718,agency,NN
6733,cabinet,NN
6734,rank,NN
6740,action,NN
6745,rule,NN
6751,hour,NN
6752,delay,NN
6759,floor,NN
6765,rule,NN
6769,demand,NN
6780,connection,NN
6784,cabinet,NN
6798,element,NN
6804,meeting,NN
6828,understanding,NN
6839,session,NN
6842,organization,NN
6848,nature,NN
6855,route,NN
6856,step,NN
6858,step,NN
6873,climate,NN
6875,candor,NN
6881,attempt,NN
6884,information,NN
6892,atmosphere,NN
6906,colonialist,NN
6920,time,NN
6927,nightmare,NN
6930,clash,NN
6934,trouble,NN
6973,absence,NN
6979,case,NN
6996,NATO,NN
7003,policy,NN
7012,relaxation,NN
7014,tension,NN
7022,explanation,NN
7034,explosion,NN
7037,council,NN
7049,UN,NN
7054,NATO,NN
7063,NATO,NN
7064,committee,NN
7073,future,NN
7082,advance,NN
7091,step,NN
7095,attempt,NN
7105,track,NN
7108,NATO,NN
7109,locomotive,NN
7124,heart,NN
7128,capital,NN
7131,alliance,NN
7138,NATO,NN
7139,line,NN
7144,side,NN
7147,balance,NN
7148,sheet,NN
7153,disappointment,NN
7158,leadership,NN
7165,evidence,NN
7171,diplomat,NN
7174,tenor,NN
7206,analysis,NN
7211,danger,NN
7225,administration,NN
7232,policy,NN
7238,vagueness,NN
7245,appreciation,NN
7248,fact,NN
7252,council,NN
7253,meeting,NN
7257,affair,NN
7269,impression,NN
7283,popularity,NN
7289,delegation,NN
7299,frame,NN
7301,mind,NN
7313,policy,NN
7317,scale,NN
7320,application,NN
7323,danger,NN
7335,speech,NN
7339,idea,NN
7343,march,NN
7357,administration,NN
7367,core,NN
7369,NATO,NN
7385,attachment,NN
7388,alliance,NN
7391,cornerstone,NN
7396,policy,NN
7409,NATO's,NN
7410,disposal,NN
7424,warning,NN
7438,setback,NN
7443,affirmation,NN
7450,council,NN
7453,whole,NN
7460,achievement,NN
7464,rekindling,NN
7466,NATO,NN
7467,realization,NN
7470,friction,NN
7475,place,NN
7478,globe,NN
7482,essence,NN
7485,conflict,NN
7499,regard,NN
7502,distance,NN
7504,lack,NN
7507,connection,NN
7511,spring,NN
7512,meeting,NN
7516,impetus,NN
7519,main,NN
7530,consultation,NN
7533,alliance,NN
7536,use,NN
7551,method,NN
7554,aid,NN
7562,need,NN
7571,maintenance,NN
7575,deterrent,NN
7578,increase,NN
7582,threshold,NN
7589,strengthening,NN
7609,ally,NN
7629,administration,NN
7635,conference,NN
7641,debate,NN
7645,policy,NN
7650,time,NN
7655,optimism,NN
7667,conference,NN
7668,table,NN
7677,ground,NN
7699,inspection,NN
7700,system,NN
7710,base,NN
7726,aid,NN
7734,conference,NN
7761,formula,NN
7769,possibility,NN
7774,inclination,NN
7782,cease-fire,NN
7793,verification,NN
7796,cease-fire,NN
7800,control,NN
7801,commission,NN
7807,conference,NN
7816,policy,NN
7822,administration,NN
7836,chain,NN
7837,reaction,NN
7845,administration,NN
7855,time,NN
7864,aid,NN
7887,gain,NN
7891,world,NN
7894,question,NN
7901,administration,NN
7904,policy,NN
7911,aggression,NN
7927,policy,NN
7943,tendency,NN
7957,poll,NN
7970,situation,NN
7984,question,NN
7994,power,NN
8010,senator,NN
8013,correspondent,NN
8026,administration,NN
8029,score,NN
8032,reply,NN
8043,need,NN
8045,unity,NN
8048,country,NN
8059,politics,NN
8065,wisdom,NN
8067,administration,NN
8077,notice,NN
8089,chairman,NN
8099,administration,NN
8106,outcome,NN
8111,coalition,NN
8112,government,NN
8116,domination,NN
8119,administration,NN
8128,direction,NN
8148,group,NN
8152,administration,NN
8158,support,NN
8161,invasion,NN
8165,exile,NN
8182,regime,NN
8186,bloc,NN
8192,detente,NN
8195,resumption,NN
8197,trade,NN
8220,nationalism,NN
8229,part,NN
8233,intervention,NN
8238,provocation,NN
8269,fiasco,NN
8280,observer,NN
8290,program,NN
8314,administration,NN
8326,source,NN
8332,administration,NN
8340,administration,NN
8345,period,NN
8348,administration,NN
8356,pin,NN
8359,administration,NN
8365,test,NN
8366,ban,NN
8380,response,NN
8382,kind,NN
8385,aid,NN
8392,emphasis,NN
8395,aid,NN
8400,reform,NN
8402,recipient,NN
8409,administration,NN
8414,administration,NN
8418,determination,NN
8423,fleet,NN
8431,gesture,NN
8446,situation,NN
8461,rate,NN
8471,territory,NN
8476,build-up,NN
8478,administration,NN
8487,service,NN
8492,matter,NN
8500,SEATO,NN
8506,contingency,NN
8523,provocation,NN
8527,time,NN
8541,war,NN
8547,SEATO,NN
8558,complication,NN
8561,administration,NN
8574,ally,NN
8589,administration,NN
8593,favor,NN
8601,government,NN
8611,revolt,NN
8617,neutralist,NN
8619,government,NN
8628,spirit,NN
8641,energy,NN
8655,government,NN
8658,hilt,NN
8662,administration,NN
8673,alternative,NN
8696,factor,NN
8699,statement,NN
8711,chairman,NN
8731,year,NN
8740,removal,NN
8758,growth,NN
8761,delinquency,NN
8774,problem,NN
8777,effect,NN
8781,vitality,NN
8784,nation,NN
8790,assertion,NN
8793,leadership,NN
8796,field,NN
8802,executive,NN
8803,order,NN
8807,committee,NN
8835,support,NN
8837,cooperation,NN
8845,enactment,NN
8847,legislation,NN
8861,crime,NN
8862,trend,NN
8897,development,NN
8900,program,NN
8903,leadership,NN
8917,problem,NN
8925,appointment,NN
8933,assistant,NN
8940,executive,NN
8941,director,NN
8954,sense,NN
8956,urgency,NN
8959,matter,NN
8963,fact,NN
8965,court,NN
8978,year,NN
8981,increase,NN
9000,burglary,NN
9002,larceny,NN
9009,age,NN
9017,defense,NN
9018,setup,NN
9025,director,NN
9033,city,NN
9034,CD,NN
9035,head,NN
9051,city,NN
9052,council,NN
9062,proposal,NN
9067,time,NN
9075,defense,NN
9076,program,NN
9084,treasurer,NN
9090,CD,NN
9091,director,NN
9094,city,NN
9110,director,NN
9123,responsibility,NN
9128,defense,NN
9129,program,NN
9136,government,NN
9141,salary,NN
9146,director,NN
9151,opinion,NN
9153,city,NN
9157,CD,NN
9158,director,NN
9163,year,NN
9173,amount,NN
9177,fund,NN
9178,basis,NN
9182,salary,NN
9193,number,NN
9196,city,NN
9206,CD,NN
9207,job,NN
9227,director,NN
9230,city,NN
9234,CD,NN
9235,headquarters,NN
9239,information,NN
9243,organization,NN
9253,advantage,NN
9259,city,NN
9264,director,NN
9281,government,NN
9284,aid,NN
9287,equipment,NN
9293,defense,NN
9294,program,NN
9303,procurement,NN
9312,rescue,NN
9328,rescue,NN
9334,CD,NN
9335,vehicle,NN
9355,rescue,NN
9360,section,NN
9363,city,NN
9370,area,NN
9376,status,NN
9379,defense,NN
9382,city,NN
9398,person,NN
9413,event,NN
9416,enemy,NN
9417,attack,NN
9426,assembly,NN
9427,point,NN
9434,drive-in,NN
9435,theater,NN
9449,assembly,NN
9450,point,NN
9460,city,NN
9473,case,NN
9476,air,NN
9477,attack,NN
9481,information,NN
9493,public,NN
9506,city,NN
9507,council,NN
9511,appointment,NN
9515,CD,NN
9516,director,NN
9528,meeting,NN
9536,defense,NN
9537,organization,NN
9562,aid,NN
9570,information,NN
9576,level,NN
9580,government,NN
9591,law,NN
9596,mind,NN
9602,night,NN
9608,committee,NN
9612,study,NN
9622,time,NN
9626,session,NN
9634,move,NN
9640,law,NN
9642,controversy,NN
9646,form,NN
9649,letter,NN
9657,city,NN
9658,clerk,NN
9664,copy,NN
9669,press,NN
9677,resolution,NN
9692,state,NN
9693,house,NN
9699,resolution,NN
9702,governor,NN
9707,study,NN
9716,eye,NN
9719,revision,NN
9723,session,NN
9726,legislature,NN
9730,city,NN
9731,council,NN
9740,review,NN
9752,matter,NN
9763,benefit,NN
9774,study,NN
9775,committee,NN
9779,cooperation,NN
9782,governor,NN
9791,committee,NN
9810,public,NN
9814,labor,NN
9816,special-interest,NN
9825,governor,NN
9836,time,NN
9841,problem,NN
9847,state,NN
9848,law,NN
9849,enforcement,NN
9853,result,NN
9863,attorney,NN
9864,general,NN
9873,duty,NN
9883,evidence,NN
9893,state,NN
9899,situation,NN
9905,activity,NN
9908,state,NN
9909,line,NN
9920,enforcement,NN
9954,merchandise,NN
9969,concern,NN
9979,list,NN
9982,neighborhood,NN
9983,grocery,NN
9985,variety,NN
9991,business,NN
9997,day,NN
10002,chance,NN
10015,resolution,NN
10030,service,NN
10033,community,NN
10039,resolution,NN
10049,source,NN
10051,livelihood,NN
10068,revenue,NN
10072,local,NN
10073,government,NN
10076,council,NN
10079,governor,NN
10085,factory,NN
10088,department,NN
10095,business,NN
10105,volume,NN
10106,basis,NN
10117,essential,NN
10129,community,NN
10158,labor-management,NN
10159,expert,NN
10175,luncheon,NN
10188,country,NN
10192,welfare,NN
10194,type,NN
10196,government,NN
10204,enterprise,NN
10205,system,NN
10211,regrouping,NN
10218,voter,NN
10221,pull,NN
10225,lever,NN
10229,election,NN
10230,day,NN
10242,member,NN
10264,man,NN
10267,machinist,NN
10269,toolmaker,NN
10271,trade,NN
10279,law,NN
10284,fellow,NN
10291,office,NN
10298,lawyer,NN
10303,law,NN
10309,track,NN
10317,track,NN
10321,enterprise,NN
10322,track,NN
10337,party,NN
10340,government,NN
10341,operation,NN
10363,victory,NN
10369,program,NN
10385,vice,NN
10386,president,NN
10402,election,NN
10411,cent,NN
10412,growth,NN
10417,product,NN
10433,wage,NN
10445,profit,NN
10446,squeeze,NN
10456,public,NN
10468,way,NN
10475,back,NN
10479,philosophy,NN
10490,person,NN
10516,counseling,NN
10519,petition,NN
10533,town,NN
10534,council,NN
10536,night,NN
10545,step,NN
10550,rule,NN
10551,charter,NN
10554,town,NN
10560,chairman,NN
10574,hand,NN
10578,hand,NN
10581,council,NN
10588,suggestion,NN
10597,law,NN
10601,rule,NN
10602,charter,NN
10612,chairman,NN
10615,board,NN
10619,verification,NN
10633,post,NN
10649,scheduling,NN
10652,vote,NN
10656,rule,NN
10657,charter,NN
10660,election,NN
10664,member,NN
10665,charter,NN
10666,commission,NN
10675,law,NN
10677,council,NN
10683,vote,NN
10686,issue,NN
10692,board,NN
10697,work,NN
10700,difference,NN
10702,opinion,NN
10712,town,NN
10713,solicitor,NN
10718,manner,NN
10722,vote,NN
10737,opinion,NN
10741,town,NN
10742,meeting,NN
10748,vote,NN
10757,election,NN
10777,week,NN
10791,council,NN
10798,method,NN
10804,council,NN
10828,strategy,NN
10831,charter,NN
10832,movement,NN
10838,group,NN
10844,charter,NN
10845,commission,NN
10847,mind,NN
10860,time,NN
10887,responsibility,NN
10898,movement,NN
10918,group,NN
10927,ballot,NN
10932,charter,NN
10933,commission,NN
10939,goal,NN
10943,public,NN
10944,awareness,NN
10947,movement,NN
10964,town,NN
10973,timetable,NN
10977,vote,NN
10984,week,NN
10989,opposition,NN
10993,rule,NN
